H2O2_uM,fold_enhancement,k2_eff_Minv_sinv,t5_seconds,t5_minutes
0.0025196359293170136,10,100.0,203574.22987476774,3392.903831246129
0.002578524352884276,10,100.0,198924.99494982514,3315.4165824970855
0.0026387891048289293,10,100.0,194381.93940427038,3239.698990071173
0.002700462352420682,10,100.0,189942.63830996017,3165.7106384993363
0.002763577014736163,10,100.0,185604.72211934184,3093.412035322364
0.0028281667802300295,10,100.0,181365.87540066725,3022.764590011121
0.0028942661247167516,10,100.0,177223.8356020921,2953.7305933682014
0.0029619103297725594,10,100.0,173176.39184400736,2886.2731974001226
0.003031135501567576,10,100.0,169221.38373894483,2820.3563956490807
0.0031019785901381,10,100.0,165356.70023843396,2755.9450039738995
0.0031744774091091873,10,100.0,161580.278506201,2693.0046417700164
0.0032486706558783746,10,100.0,157890.10281709186,2631.5017136181978
0.003324597932270945,10,100.0,154284.20348115143,2571.403391352524
0.003402299765678064,10,100.0,150760.6557922683,2512.677596537805
0.0034818176306889667,10,100.0,147317.57900083036,2455.2929833471726
0.0035631939712285916,10,100.0,143953.13530984847,2399.2189218308076
0.003646472223212745,10,100.0,140665.52889400136,2344.425481566689
0.003731696837732755,10,100.0,137453.00494108343,2290.883415684724
0.0038189133047818466,10,100.0,134313.8487153499,2238.5641452558316
0.003908168177536264,10,100.0,131246.3846422449,2187.439744037415
0.00399950909720367,10,100.0,128248.97541404075,2137.4829235673456
0.004092984818452434,10,100.0,125320.02111589721,2088.6670185982866
0.004188645235435271,10,100.0,122457.95837187998,2040.9659728646664
0.004286541408420934,10,100.0,119661.259510487,1994.3543251747833
0.004386725591048495,10,100.0,116928.43174922801,1948.8071958204669
0.004489251258218608,10,100.0,114258.01639782668,1904.3002732971113
0.004594173134636486,10,100.0,111648.58807962439,1860.809801327073
0.00470154722402213,10,100.0,109098.75397076123,1818.3125661793538
0.004811430839003264,10,100.0,106607.1530567329,1776.7858842788817
0.004923882631706732,10,100.0,104172.45540593062,1736.2075900988436
0.00503896262506515,10,100.0,101793.36145976551,1696.556024329425
0.005156732244854974,10,100.0,99468.6013390116,1657.8100223168599
0.005277254352483532,10,100.0,97196.93416598615,1619.9489027664358
0.0054005932785423745,10,100.0,94977.1474022104,1582.9524567035066
0.0055268148571446145,10,100.0,92808.05620120022,1546.8009366866704
0.005655986461065002,10,100.0,90688.5027760343,1511.4750462672382
0.00578817703770128,10,100.0,88617.35578136571,1476.9559296894286
0.005923457145875794,10,100.0,86593.50970955116,1443.2251618258526
0.006061898993497572,10,100.0,84615.88430056564,1410.2647383427607
0.006203576476104281,10,100.0,82683.42396539894,1378.0570660899823
0.00634856521630521,10,100.0,80795.09722261727,1346.584953710288
0.006496942604146125,10,100.0,78949.8961477926,1315.8316024632102
0.006648787838417277,10,100.0,77146.83583550891,1285.780597258482
0.006804181968927093,10,100.0,75384.95387365232,1256.4158978942055
0.00696320793976389,10,100.0,73663.30982970737,1227.721830495123
0.0071259506335683955,10,100.0,71980.98474878841,1199.6830791464736
0.007292496916841444,10,100.0,70337.08066313031,1172.2846777188386
0.007462935686310145,10,100.0,68730.72011278609,1145.5120018797681
0.007637357916378012,10,100.0,67161.04567726771,1119.3507612877952
0.00781585670768409,10,100.0,65627.21951788348,1093.7869919647246
0.007998527336796724,10,100.0,64128.42293052995,1068.8070488421658
0.008185467307069021,10,100.0,62663.85590869487,1044.3975984782478
0.008376776400682925,10,100.0,61232.73671644004,1020.5456119406674
0.008572556731909308,10,100.0,59834.30147113925,997.2383578523209
0.008772912801613356,10,100.0,58467.80373574172,974.4633955956954
0.008977951553033332,10,100.0,57132.514120351196,952.20856867252
0.00918778242886332,10,100.0,55827.71989290173,930.4619982150289
0.009402517429670132,10,100.0,54552.72459872494,909.2120766454157
0.009622271173675154,10,100.0,53306.84768880764,888.4474614801273
0.009847160957933764,10,100.0,52089.42415653729,868.1570692756214
0.010077306820944617,10,100.0,50899.804182743435,848.3300697123906
0.010312831606721848,10,100.0,49737.352788847915,828.9558798141319
0.010553861030365229,10,100.0,48601.44949793366,810.0241582988943
0.01080052374516254,10,100.0,47491.48800355575,791.5248000592625
0.01105295141126022,10,100.0,46406.87584611601,773.4479307686001
